timestamp,level,msg
2025-04-25T00:45:23Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:23Z,ERROR,Par\xE1metros inv\xE1lidos en la solicitud\r
2025-04-25T00:45:24Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:24Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:24Z,INFO,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:24Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:24Z,ERROR,"Token JWT expirado"
2025-04-25T00:45:24Z,ERROR,"Token JWT expirado"
2025-04-25T00:45:24Z,INFO,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:24Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:24Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:24Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:25Z,ERROR,"Error al cargar datos del usuario"
2025-04-25T00:45:25Z,ERROR,"Error al cargar datos del usuario"
2025-04-25T00:45:26Z,INFO,Par\xE1metros inv\xE1lidos en la solicitud\r
2025-04-25T00:45:26Z,INFO,Par\xE1metros inv\xE1lidos en la solicitud\r
2025-04-25T00:45:27Z,INFO,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:27Z,ERROR,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:27Z,INFO,"Error al cargar datos del usuario"
2025-04-25T00:45:27Z,DEBUG,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:27Z,INFO,"Error al cargar datos del usuario"
2025-04-25T00:45:27Z,INFO,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:27Z,ERROR,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:27Z,DEBUG,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:28Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:28Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:28Z,ERROR,"Token JWT expirado"
2025-04-25T00:45:28Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:28Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:28Z,ERROR,"Token JWT expirado"
2025-04-25T00:45:29Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:29Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:30Z,DEBUG,"Token JWT expirado"
2025-04-25T00:45:30Z,INFO,"Token JWT expirado"
2025-04-25T00:45:30Z,ERROR,Carga de m\xF3dulo completada\r
2025-04-25T00:45:30Z,ERROR,Carga de m\xF3dulo completada\r
2025-04-25T00:45:30Z,INFO,"Token JWT expirado"
2025-04-25T00:45:30Z,DEBUG,"Token JWT expirado"
2025-04-25T00:45:32Z,DEBUG,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:32Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:32Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:32Z,DEBUG,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:33Z,ERROR,"Archivo no encontrado"
2025-04-25T00:45:33Z,WARN,"Archivo no encontrado"
2025-04-25T00:45:33Z,ERROR,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:33Z,WARN,"Intento de acceso no autorizado"
2025-04-25T00:45:33Z,DEBUG,Carga de m\xF3dulo completada\r
2025-04-25T00:45:33Z,INFO,"Intento de acceso no autorizado"
2025-04-25T00:45:33Z,DEBUG,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:33Z,ERROR,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:33Z,WARN,"Intento de acceso no autorizado"
2025-04-25T00:45:33Z,DEBUG,Carga de m\xF3dulo completada\r
2025-04-25T00:45:33Z,INFO,"Intento de acceso no autorizado"
2025-04-25T00:45:33Z,WARN,"Archivo no encontrado"
2025-04-25T00:45:33Z,ERROR,"Archivo no encontrado"
2025-04-25T00:45:33Z,DEBUG,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:34Z,ERROR,"Error al cargar datos del usuario"
2025-04-25T00:45:34Z,INFO,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:34Z,DEBUG,"Intento de acceso no autorizado"
2025-04-25T00:45:34Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:34Z,INFO,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:34Z,DEBUG,"Intento de acceso no autorizado"
2025-04-25T00:45:34Z,ERROR,"Error al cargar datos del usuario"
2025-04-25T00:45:34Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:35Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:35Z,ERROR,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:35Z,ERROR,"Token JWT expirado"
2025-04-25T00:45:35Z,ERROR,"Token JWT expirado"
2025-04-25T00:45:35Z,ERROR,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:35Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:36Z,INFO,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:36Z,DEBUG,"Intento de acceso no autorizado"
2025-04-25T00:45:36Z,ERROR,"Intento de acceso no autorizado"
2025-04-25T00:45:36Z,INFO,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:36Z,INFO,"Error al cargar datos del usuario"
2025-04-25T00:45:36Z,DEBUG,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:36Z,ERROR,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:36Z,ERROR,Carga de m\xF3dulo completada\r
2025-04-25T00:45:36Z,ERROR,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T00:45:36Z,DEBUG,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T00:45:36Z,INFO,Fallo en la autenticaci\xF3n\r
2025-04-25T00:45:36Z,INFO,"Error al cargar datos del usuario"
2025-04-25T00:45:36Z,DEBUG,"Intento de acceso no autorizado"
2025-04-25T00:45:36Z,ERROR,"Intento de acceso no autorizado"
2025-04-25T00:45:36Z,INFO,Conexi\xF3n con base de datos exitosa\r
2025-04-25T00:45:36Z,ERROR,Carga de m\xF3dulo completada\r
