timestamp,level,msg
2025-04-25T01:29:40Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:40Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:41Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:41Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:42Z,WARN,"Error al cargar datos del usuario"
2025-04-25T01:29:42Z,WARN,"Error al cargar datos del usuario"
2025-04-25T01:29:43Z,WARN,"Token JWT expirado"
2025-04-25T01:29:43Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:43Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:43Z,WARN,"Token JWT expirado"
2025-04-25T01:29:44Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T01:29:44Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T01:29:45Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T01:29:45Z,WARN,Fallo en la autenticaci\xF3n\r
2025-04-25T01:29:45Z,WARN,"Intento de acceso no autorizado"
2025-04-25T01:29:45Z,WARN,"Intento de acceso no autorizado"
2025-04-25T01:29:45Z,WARN,Usuario inici\xF3 sesi\xF3n\r
2025-04-25T01:29:45Z,WARN,Fallo en la autenticaci\xF3n\r
2025-04-25T01:29:46Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:46Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T01:29:46Z,WARN,"Error al cargar datos del usuario"
2025-04-25T01:29:46Z,WARN,"Error al cargar datos del usuario"
2025-04-25T01:29:46Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T01:29:46Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:47Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:47Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:49Z,WARN,"Archivo no encontrado"
2025-04-25T01:29:49Z,WARN,"Archivo no encontrado"
2025-04-25T01:29:50Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:50Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:50Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:50Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:50Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:50Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:29:51Z,WARN,"Token JWT expirado"
2025-04-25T01:29:51Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T01:29:51Z,WARN,Se actualiz\xF3 la configuraci\xF3n\r
2025-04-25T01:29:51Z,WARN,"Token JWT expirado"
2025-04-25T01:29:52Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:52Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:53Z,WARN,"Intento de acceso no autorizado"
2025-04-25T01:29:53Z,WARN,"Intento de acceso no autorizado"
2025-04-25T01:29:54Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:54Z,WARN,Conexi\xF3n con base de datos exitosa\r
2025-04-25T01:29:59Z,WARN,Fallo en la autenticaci\xF3n\r
2025-04-25T01:29:59Z,WARN,Fallo en la autenticaci\xF3n\r
2025-04-25T01:30:00Z,WARN,Fallo en la autenticaci\xF3n\r
2025-04-25T01:30:00Z,WARN,Carga de m\xF3dulo completada\r
2025-04-25T01:30:00Z,WARN,Fallo en la autenticaci\xF3n\r
2025-04-25T01:30:00Z,WARN,Carga de m\xF3dulo completada\r
